country,group,primary,secondary,tertiary
Russia,A,red3,mediumblue,white
Egypt,A,red3,white,black
Uruguay,A,skyblue1,white,black
Saudi Arabia,A,forestgreen,white,NA
Spain,B,red3,gold1,white
Portugal,B,aquamarine1,firebrick,white
Morocco,B,red4,forestgreen,white
Iran,B,red3,white,forestgreen
France,C,dodgerblue1,midnightblue,white
Peru,C,red3,white,NA
Denmark,C,red4,white,NA
Australia,C,yellow1,springgreen4,NA
Argentina,D,lightskyblue1,black,white
Croatia,D,red3,midnightblue,white
Iceland,D,dodgerblue2,white,red3
Nigeria,D,springgreen4,springgreen,white
Brazil,E,yellow1,dodgerblue3,NA
Switzerland,E,firebrick2,white,NA
Serbia,E,dodgerblue4 ,red3,white
Costa Rica,E,red3,dodgerblue4,white
Germany,F,black,white,NA
Mexico,F,forestgreen,red3,white
Sweeden,F,gold1,blue2,NA
South Korea,F,slateblue4 ,red3,white
Belgium,G,red3,yellow1,black
England,G,darkslategray2 ,red3,white
Tunisia,G,red3,white,NA
Panama,G,red3,white,royalblue3 
Columbia,H,yellow1,midnightblue,red3
Japan,H,midnightblue,red3,white
Senegal,H,springgreen4,white,yellow1
Poland,H,red3,white,NA
